Kelime,Anlam No,Anlam,Örnek Cümle
yüz,1,surat (yüz organı),kısa kütük gibi bir bedeni çok gelişmiş kaslarla dolu kalın bacakları dalgalı kızıl saçları sivri çenesi ve çilli bir yüzü vardı.
yüz,1,surat (yüz organı),o yüzüyle gözümüzün içine bakması kadar iğrenç bir şey olamaz ifadelerini kullandı
yüz,1,surat (yüz organı),önünüzdeki asık yüzlü ciddi bet sesli ağır adamdan şöyle bir yorum gelir
yüz,1,surat (yüz organı),güney afrika'da her yıl elli bin kadın tecavüze uğruyor pakistan'da namus şüphesi yüzünden kadınların yüzleri doğranıyor
yüz,1,surat (yüz organı),öldürüleceğini anlayan ipekçi camın arkasındaki korku dolu yüzünü görmemişti bile
yüz,1,surat (yüz organı),onun yüzüne vuran ben değilim
yüz,1,surat (yüz organı),bmw motorhome'unda bembeyaz bir yüzle oturup bir tabak makarnayı yok ederken kafası bu düşüncelerle doluydu
yüz,1,surat (yüz organı),yarış başladıktan seksen metre sonra daha ilk dönüşte kendini yere bırakan johnson'un ne kadar acı çektiği yüzünden belli oluyordu
yüz,1,surat (yüz organı),ama hepimizin bildiği gibi gerçek aşk yolunu her koşulda bulur onlar muradına erer biz de gülümseyen yüzlerle sinema salonunu terkederiz
yüz,1,surat (yüz organı),kendi halinde orta yaşlı bir kadın olan rosie mckechnie evinde uslu uslu otururken kapısını çalan yüzleri çorapla gizlenmiş iki adam tarafından önce bir güzel dövülür sonra da ustura ile kesilir
yüz,1,surat (yüz organı),karşınızdakinin kıpkırmızı olması bardağındaki içkiyi yüzünüze boşaltması ya da burnunuzun ortasına bir yumruk indirmesi çok daha muhtemeldir
yüz,1,surat (yüz organı),bu arada samsunspor maçında ertuğrul'un yüzüne dirseğiyle vuran galatasaray'ın kaptanı bülent'in bu karşılaşmada nispeten sakin olması da dikkate değerdi
yüz,1,surat (yüz organı),üstelik yüzlerinde fenerbahçeyi küçümser o kibirli gülüş vardı
yüz,1,surat (yüz organı),bana da sık sık hata yaptın hükümeti düşürdün asık yüzlüsün ülkeyi seçime götürdün eleştirileri getiriyorlar
yüz,1,surat (yüz organı),biz asık yüzlü yumuşacık sesimizle marşvari türküler söylüyorduk
yüz,1,surat (yüz organı),ben asık yüzle türkü söylemek istemiyordum
yüz,1,surat (yüz organı),asık yüzle yapılan eylemleri doğru bulmuyoruz
yüz,1,surat (yüz organı),almak için gittiğimde kayınvalidem kapıyı yüzüme kapattı
yüz,1,surat (yüz organı),çünkü aydının asık yüzlü olması gerektiği fikrine alışılmış bir kere
